Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
145,0,0.988872,2.604298,2.088928,-96.688148,227.047272,127.809181,0.944780,2.256304,2.159417,147.678680,216.013733,125.666855
146,0,0.988844,2.604290,2.088911,-96.684830,227.046066,127.804474,0.944785,2.256357,2.159318,147.677673,216.011536,125.665710
147,0,0.988789,2.604258,2.088853,-96.688049,227.044403,127.805847,0.944533,2.256330,2.159280,147.679214,216.009720,125.662270
148,0,0.988678,2.604197,2.088890,-96.689957,227.044418,127.804535,0.944848,2.256371,2.159320,147.678345,216.006348,125.657143
149,0,0.988901,2.604396,2.088726,-96.687538,227.042740,127.802490,0.944729,2.256354,2.159369,147.675385,216.005310,125.661049
150,0,0.988391,2.604192,2.088867,-96.686958,227.042084,127.798569,0.944596,2.256376,2.159261,147.674576,216.007584,125.665558
151,0,0.988647,2.604255,2.088804,-96.690445,227.043686,127.806770,0.944888,2.256331,2.159486,147.679520,216.007431,125.661102
152,0,0.988433,2.604250,2.088792,-96.687653,227.040085,127.803787,0.944746,2.256312,2.159404,147.677856,216.003067,125.663979
153,0,0.988585,2.604269,2.088917,-96.689896,227.043365,127.803772,0.944674,2.256401,2.159259,147.680725,216.005341,125.660004
154,0,0.988874,2.604345,2.088838,-96.690399,227.042297,127.805290,0.944613,2.256422,2.159243,147.678558,216.007370,125.659676
155,0,0.988718,2.604286,2.088841,-96.688698,227.045334,127.806725,0.944816,2.256345,2.159335,147.679108,216.009979,125.660942
156,0,0.988418,2.604218,2.088906,-96.687347,227.046326,127.809349,0.945005,2.256308,2.159459,147.678955,216.007233,125.667351
157,0,0.989228,2.604405,2.088731,-96.685860,227.047302,127.811462,0.944745,2.256281,2.159292,147.680664,216.013504,125.667397
158,0,0.988520,2.604224,2.088742,-96.686485,227.051453,127.813026,0.944983,2.256287,2.159448,147.679520,216.014130,125.670326
159,0,0.988574,2.604331,2.088822,-96.684174,227.050110,127.814560,0.944846,2.256317,2.159390,147.677719,216.016754,125.677971
160,0,0.988594,2.604245,2.088683,-96.686844,227.054764,127.822548,0.944635,2.256373,2.159239,147.677689,216.019608,125.679359
161,0,0.988589,2.604377,2.088622,-96.685310,227.053116,127.820221,0.944784,2.256330,2.159444,147.679367,216.014648,125.675125
162,0,0.988904,2.604325,2.088763,-96.689583,227.053879,127.818703,0.944553,2.256387,2.159163,147.675842,216.017807,125.686317
163,0,0.988677,2.604313,2.088938,-96.686241,227.053619,127.820015,0.944745,2.256302,2.159490,147.675705,216.020813,125.678185
164,0,0.988752,2.604293,2.088704,-96.689835,227.055023,127.819809,0.944551,2.256335,2.159245,147.678299,216.019730,125.677673
165,0,0.988555,2.604221,2.089021,-96.687706,227.055679,127.819061,0.944882,2.256353,2.159431,147.672577,216.023315,125.677246
166,0,0.988678,2.604284,2.088735,-96.691292,227.057358,127.816811,0.944800,2.256337,2.159392,147.673767,216.024094,125.679764
167,0,0.988787,2.604301,2.088718,-96.691193,227.057968,127.816872,0.944789,2.256287,2.159391,147.672714,216.021667,125.678749
168,0,0.988680,2.604172,2.088972,-96.689995,227.057251,127.812744,0.944691,2.256305,2.159331,147.672134,216.024521,125.675484
169,0,0.988691,2.604196,2.088831,-96.693016,227.059586,127.813148,0.944763,2.256344,2.159261,147.670090,216.025360,125.676529
170,0,0.988825,2.604261,2.088764,-96.694748,227.058731,127.816231,0.944645,2.256382,2.159186,147.669128,216.021194,125.672493
171,0,0.988928,2.604297,2.088777,-96.693497,227.057083,127.812477,0.944573,2.256391,2.159219,147.668503,216.022873,125.678940
172,0,0.988929,2.604275,2.088838,-96.695686,227.059875,127.814812,0.944674,2.256344,2.159302,147.672318,216.017136,125.675392
173,0,0.988691,2.604267,2.088781,-96.696251,227.056686,127.818298,0.944746,2.256324,2.159363,147.667847,216.021194,125.674683
174,0,0.988677,2.604313,2.088650,-96.696762,227.055328,127.820168,0.944805,2.256345,2.159357,147.669022,216.021057,125.675751
175,0,0.988858,2.604243,2.088758,-96.693199,227.055283,127.814278,0.944665,2.256333,2.159317,147.673477,216.016251,125.675262
176,0,0.988451,2.604208,2.088799,-96.692825,227.053879,127.813698,0.944717,2.256313,2.159369,147.674942,216.017975,125.672218
177,0,0.988802,2.604351,2.088891,-96.689926,227.053177,127.812637,0.944727,2.256349,2.159302,147.674179,216.020279,125.677940
178,0,0.988980,2.604245,2.088909,-96.688423,227.051544,127.810852,0.944725,2.256325,2.159366,147.676270,216.015976,125.669106
179,0,0.988565,2.604345,2.088728,-96.687256,227.049927,127.815590,0.944785,2.256368,2.159266,147.681686,216.011414,125.666794
180,0,0.988853,2.604269,2.088780,-96.687881,227.047821,127.811996,0.944590,2.256356,2.159318,147.679260,216.013992,125.674934
181,0,0.988591,2.604248,2.088742,-96.686157,227.048080,127.812950,0.944808,2.256295,2.159375,147.683548,216.010361,125.664024
182,0,0.988699,2.604348,2.088850,-96.682610,227.044449,127.808350,0.944984,2.256304,2.159474,147.683304,216.011230,125.663879
183,0,0.988879,2.604183,2.088896,-96.682938,227.046112,127.812325,0.944833,2.256264,2.159387,147.683762,216.010742,125.672493
184,0,0.988581,2.604310,2.088763,-96.684639,227.045090,127.806870,0.944822,2.256325,2.159323,147.686340,216.006119,125.662712
185,0,0.988941,2.604362,2.088748,-96.681992,227.045181,127.808006,0.944671,2.256364,2.159245,147.683807,216.009933,125.666809
186,0,0.988682,2.604131,2.088913,-96.681061,227.040726,127.804710,0.944631,2.256366,2.159347,147.685806,216.004593,125.662415
187,0,0.988949,2.604325,2.088920,-96.685585,227.044815,127.809975,0.944550,2.256401,2.159154,147.686050,216.005905,125.658722
188,0,0.988824,2.604319,2.088933,-96.681694,227.044403,127.802956,0.944495,2.256397,2.159201,147.684052,216.006622,125.663307
189,0,0.988904,2.604240,2.088843,-96.682236,227.044052,127.798347,0.944827,2.256353,2.159401,147.685455,216.008240,125.660675
190,0,0.988736,2.604365,2.088741,-96.680458,227.044479,127.801064,0.944771,2.256266,2.159358,147.683395,216.009949,125.657486
191,0,0.988593,2.604325,2.088743,-96.686249,227.045013,127.799454,0.944567,2.256349,2.159334,147.681793,216.010040,125.659096
192,0,0.988795,2.604358,2.088955,-96.683441,227.044220,127.802032,0.944558,2.256380,2.159199,147.681808,216.007767,125.654472
193,0,0.988570,2.604358,2.088805,-96.686142,227.046036,127.801117,0.944672,2.256375,2.159193,147.675629,216.010483,125.661629
194,0,0.988681,2.604364,2.088788,-96.686920,227.048767,127.802116,0.944845,2.256366,2.159332,147.677383,216.011597,125.659958
195,0,0.988699,2.604269,2.088789,-96.689514,227.052902,127.804070,0.944752,2.256376,2.159347,147.673279,216.017349,125.665352
196,0,0.988763,2.604289,2.088786,-96.690376,227.051147,127.803787,0.944718,2.256336,2.159441,147.675552,216.011353,125.661209
197,0,0.988734,2.604244,2.089038,-96.689651,227.051666,127.811897,0.944855,2.256355,2.159348,147.678589,216.014786,125.659973
198,0,0.988735,2.604309,2.088760,-96.689766,227.050919,127.807289,0.944629,2.256342,2.159278,147.676636,216.015747,125.669632
199,0,0.988557,2.604191,2.088825,-96.691643,227.054138,127.817673,0.944825,2.256344,2.159391,147.676880,216.019882,125.674171
200,0,0.988777,2.604273,2.088748,-96.690552,227.056732,127.823677,0.944746,2.256304,2.159435,147.674576,216.022308,125.684113
201,0,0.988534,2.604287,2.088774,-96.691833,227.055634,127.827614,0.944869,2.256360,2.159473,147.670380,216.020874,125.682365
202,0,0.988696,2.604279,2.088880,-96.693527,227.058151,127.828987,0.944823,2.256377,2.159386,147.672485,216.021576,125.689148
203,0,0.988650,2.604254,2.088706,-96.692940,227.058090,127.830383,0.944717,2.256332,2.159296,147.672180,216.022964,125.688377
204,0,0.988901,2.604269,2.088824,-96.694366,227.057983,127.830269,0.944520,2.256322,2.159330,147.669586,216.024017,125.687286
205,0,0.988523,2.604209,2.088862,-96.693298,227.059479,127.827614,0.944648,2.256370,2.159205,147.672363,216.022369,125.686081
206,0,0.988547,2.604331,2.088709,-96.695251,227.058044,127.828209,0.944606,2.256361,2.159247,147.670227,216.023682,125.683052
207,0,0.988875,2.604383,2.088671,-96.694176,227.061279,127.829163,0.944623,2.256377,2.159260,147.670197,216.026184,125.681046
208,0,0.988652,2.604280,2.088909,-96.693146,227.058731,127.818184,0.944755,2.256386,2.159337,147.672760,216.024994,125.674797
209,0,0.988638,2.604383,2.088584,-96.691978,227.059448,127.817604,0.944559,2.256360,2.159197,147.674271,216.021271,125.678528
210,0,0.988586,2.604289,2.088912,-96.691460,227.058029,127.815323,0.944412,2.256437,2.159070,147.670410,216.022568,125.683189
211,0,0.988903,2.604278,2.088879,-96.692070,227.056061,127.816795,0.944848,2.256293,2.159362,147.671585,216.020935,125.673744
212,0,0.988793,2.604320,2.088769,-96.692680,227.055328,127.813698,0.944956,2.256303,2.159519,147.670486,216.022369,125.673058
